email_id,subject,body,source,cognitive_trigger,is_phishing
1.0,From Dr Ibrahim,"FROM THE DESK OF DR.IBRAHIM QUATTARA AUDITOR, FEDERAL MINISTRY OF HEALTH AND SOCIAL SERVICES, DAKAR SENEGAL. DEAR FRIEND. LETTER FOR URGENT ASSISTANCE ON FUND TRANSFER First,i must solicit your strictest confidence in this transaction.This by viture of its nature as being utterly confidential and TOP SECRET. I got your contact in our search for a foriegn partner who has the ability and reliability",Nigerian_Fraud,Authority,1
2.0,ASSISTANCE FROM YOU.,"Dear one. My name is Master Karonga Zungu, the son of Mr.Ellies Karonga of blessed memory from Zimbabwe, During the current crises against the farmers in Zimbabwe from the supports of President Robert Mugabe to claim all citizens both black/white farmers farms, who where not his party members and his followers, he ordered all white/black farmers who were not in his party to surrender all their far",Nigerian_Fraud,,1
3.0,I will appreciate your reply,"From: Mrs Farah al-Hashemi Address: Chiang Rai hospital 31-12 Chiang Rai - Lampoon Rd, ,Chiang Rai Thailand Dearest Beloved, Thank you for the attention beeing given to go through my mail.I am Mrs.Farah al-Hashemi, The wife of iraq military finance corps Chief, who was incharge of the payment of the military salary during his life service time . I am 58 years old, i am now receiving treatment in t",Nigerian_Fraud,,1
4.0,FROM TONY KASAKA,"TONY KASAKA Abidjan-Cote D'Ivoire TEL/225 0754 5441 ATTN:C.E.O/PRESIDENT, CONFIDENTIAL. I am TONY KASAKA the only son of late former Director of finance, Late Chief Desmond KASAKA, Cote D'Ivoire diamond and mining corporation. I must confess my agitation is real, and my words is my bond, in this proposal.My late father diverted this money meant for purchase of ammunition for my country, during the",Nigerian_Fraud,,1
5.0,EMAIL BLACKLISTED,"EMAIL BLACKLISTED Dear jose@monkey.org, Our record indicates that your account was detected of spam activities and as a result has been blacklisted . Failure to confirm and update your account within 24 hours will lead to it being suspended permanently. Confirm your account below. Confirm your email address Best Regards Administrator. ©2016 Administrator. All Rights Reserved. EMAIL BLACKLISTED Dea",Nazario,Urgency,1
6.0,INVESTORS NEEDED,"Dear Sir / Madam, I am Mr Abu Hassan, from Ivory Coast Abidjan but residing in Dakar Senegal in Africa. It is my desire to contact you on honesty and sincerity to assist me in transferring the sum of $8,500,000(Eight Million Five Hundred Thousand United States Dollars) inherited from my father late Mr. Hassan Ahmed, to your country for investment. I am motivated in contacting you and hope to gradu",Nigerian_Fraud,,1
7.0,PROPOSAL,"Attention to: CEO/PRESIDENT From: Sam KOROMA Tel: 27 733 624 034 Fax: 27 115 076 062 Email: sarakoroma@hotmail.com Johannesburg/SOUTH AFRICA Dear Sir, May this reach you in peace of mind and good health. It will be pertinent to first make myself known to you, my name is Mr. Sam Koroma. I am the first son of Chief Omoh Koroma, the former Chairman of Sierra Leone Mining Corporation. Unfortunately, m",Nigerian_Fraud,,1
8.0,WE NEED YOUR URGENT ASSISTANCE PLEASE,"FROM: HAJIA RAKIYA ZUBAIRU. 15 ARAFAT GRAND YOFF STREET, United Nation Reserved Area (UNRA) DAKAR SENEGAL. email rakiya_zubairu0202@yahoo.ca (Assalam! ) Attn: , I know you will be surprised to read a letter from me but please Consider this as a request from a family in dare need of assistance. I am the wife of late Brigadier AL-Jubril Zubairu from Dafur Region, Sudan. My name is Hajia Rakiya Zubai",Nigerian_Fraud,,1
9.0,Greetings from Calif!,"!Want to make a million bucks this year? Me too but it's probably not going happen! However if your looking for the opportunity to make a couple thousand a week, working form home, with your pc, we need to talk. If you're over 18 and a US resident, Just Click REPLY Send me your Name, State, Complete telephone number, and the best time to contact you. I will personally speak with you within 48 hour",SpamAssasin,,1
10.0,Click here and order replica watches from best brands,"We offer a free gift box with every VIP watch ordered. You can use it as a lovely gift for your friends or relatives or keep your gorgeous watch there. No matter what you do with your watch, you will enjoy it. Omega replica watch Same quality at lower price Purchase cheap Vacheron Constantin replica watch here http://navesbaconzek.com/",CEAS_08,,1
11.0,Re: http://apt.nixia.no/,"On Fri, Feb 01, 2002 at 05:41:32PM +0200, Harri Haataja wrote: > I have a local one for the main and upgrades from somewhere plus my own > at $ORKPLACE. Olen ajatellut pystytt itselleni lokaalin apt-varaston, kun Suomesta ei tunnu lytyvn julkista peili. Osaisitko avittaa hiukan asiassa, eli kuinka lhte liikkeelle? Ensin kannattanee peilata varsinainen RH:n rpm:t jostain, vaan mill softalla (rsync?",SpamAssasin,,1
12.0,Revolutionary mens health aid has arrived,Combination of supplements and massage techniques give women pleasure http://www.madebright.com,CEAS_08,,1
13.0,REQUEST FOR YOUR UNRESERVED ASSISTANCE,"FROM: DR. ANAYO AWKA BANK MANAGER (UNION BANK OF NIGERIA PLC)MARINA LAGOS ATTENTION: PRESIDENT/CEO Dear Sir, REQUEST FOR YOUR UNRESERVED ASSISTANCE Firstly, I must solicit your confidence in this transaction, this is by virtue of its nature as being utterly confidential and top secret.Though I know that a transaction of this magnitude will make any oneapprehensive and worried, but I am assuring yo",Nigerian_Fraud,Authority,1
14.0,"APT, gcc-3.2-0.1","Hiya folks, I'm currently running RawHide, since I had the brilliant idea that, by using APT, it might actually be practical to keep up with the developments. However, APT seems to want a recompile - its sometimes leaving the RPM database in need of a db_recover - and gcc 3.2 seems to require a closer adherence to the standard than the C++ in APT was written for. This is a bit of a bummer. Does an",SpamAssasin,,1
15.0,Re: How unlucky can you get?,"Actually, this is common. I've known a couple of people who have suffered this. Believe it or not, you were lucky. You were home, rather than on vacation, and so you didn't have the intake line flowing onto the floor for two weeks. Now, don't you feel better? _________________________________________________________________ Chat with friends online, try MSN Messenger: http://messenger.msn.com http",SpamAssasin,,1
16.0,Linux Software RAID Fun,"URL: http://jeremy.zawodny.com/blog/archives/000201.html Date: 2002-09-29T11:52:44-08:00 I forgot to write this up yesterday and didn't feel like forging the blog entry date. Anyway, while taking a break from writing the book, I tried to finish up the work on friends.zawodny.com before I ship it off to...",SpamAssasin,,1
17.0,Your E-mail Requestjose@monkey.org,"New Page 1 To, jose@monkey.org Your incoming messages are now queued up and pending delivery, because your address has not been validated by Gsuite and Office365 servers. You are required to validate your address jose@monkey.org to restore normal inbox delivery. ____________________________________________________ Validate jose@monkey.org Now Please note: Login with your eMail jose@monkey.org Pass",Nazario,Authority,1
18.0,"Delphi Questions, a new _Joel on Software_ discussion group.","URL: http://www.joelonsoftware.com/news/20021007.html Date: Not supplied Delphi Questions[1], a new _Joel on Software_ discussion group. [1] http://discuss.fogcreek.com/delphiquestions",SpamAssasin,,1
19.0,Re: Pango problems,"Once upon a time, Julian wrote : > One of the things you need to understand with gnome2 is that while they > did simplify a lot of things, most of the configuration options people > found very useful are still available through gconf. Learn to love > gconf-editor ;) -- metacity can have sloppy focus (Desktop Preferences > -> Window Focus -- there's actually GUI for that), and the delay until > rai",SpamAssasin,,1
20.0,=?utf-8?b?57eK5oCl5pyN5YuZ5Zmo6K2m5ZGKIQ==?=,"O60Y7D jose@monkey.org , 24\0FeF6T0EN0DFDe36R30eB0AENF6, AE{B1]F2nE1 W28D9CCX9ERA0z7AF4 >> 15GB sB0W28S47~A7NE57FQ4D~C8k62 sB0W28S47~A7NE57FQ4DAE{B1~C8k62 22220C AENF6fF4eB0 你好 jose@monkey.org , 24小时后不能收到新邮件, 邮箱已满 在这里增加空间 >> 15GB 现在升级以避免终止 现在升级以避免邮箱终止 谢谢， 邮件更新",Nazario,Urgency,1
21.0,SOLID PROPOSAL,"FROM CROCOMBE JOHNSON. AUDITING AND ACCOUNTING UNIT. FOREIGN REMITTANCE DEPT. DEXTRA BANK, GRAND CAYMAN, CAYMAN ISLANDS, B.W.I. PLEASE REPLY THIS MAIL TO MY CONFIDENTIAL ADDRESS-(crocombe2000@702mail.co.za} I am CROCOMBE JOHNSON, the Director in charge of auditing and accounting section of DEXTRA BANK, GRAND CAYMAN, CAYMAN ISLANDS. I have decided to contact you on a business transaction that will ",Nigerian_Fraud,Authority,1
22.0,PhentrimineForValuedCustomerSafeSecure,YourHealthWorldwideWelcome http://g5lgow.blu.livefilestore.com/y1p0kbqX0qEV-WCu39mwTHNfafXWP24rZZXObzRdbKlpCsd-du12msObXfXzWsvZyLJMaYDK1jnC3I-rz7sjzlUYQ/index.html,CEAS_08,,1
23.0,Suspended Account,"American Express .cssage P { margin:0px; padding:0px } body.cssage { font-size: 12pt; font-family:Calibri } Suspended Account noticed a sign in attempt from an usual location and device. your account have been restricted until you verify your information. Click on the link below to access your account information to restore access. My Account Regards, American Express Company © All users of our on",Nazario,Authority,1
24.0,URGENT,"Dear Sir/Madam, This letter may come to you as a surprise due to the fact that we have not yet met. I have to say that I have no intentions of causing you any pains so i decided to contact you through this medium. As you read this, I don't want you to feel sorry for me, because, I believe everyone will die someday. My name is Razaq Samiu, a merchant in Dubai, in the U.A.E. I have been diagnosed wi",Nigerian_Fraud,,1
25.0,Special treatment for your beloved,The night is full of passion you've dreamed!!! Find information on health shop is the resource for people to get their medication without any hassles or awkwardness!!! In our LICENSED pharmacies buy directly from warehouse!!!,CEAS_08,,1
26.0,Inexpensive symbols of swagger society,Our wide range of rep1!c@ted watches allows you to choose a model suitable for any occasion! http://wearrain.com/,CEAS_08,,1
27.0,For:2f022b9a8b9a28309e48e65b932e7af7 Whoopi Kissed a Girl and She Liked It,zu SPIEGEL WISSEN Watch tBRITISH MOTOR SHOW: AUTOS IM NEBELhe videoBritish Motor Show Opel Insignia Opel Megane Tesla Roadster,CEAS_08,,1
28.0,GOVERNMENT REGULATION IS KILLING THE STOCK MARKET,"PRESS RELEASE FROM THE AYN RAND INSTITUTE 2121 Alton Parkway, Suite 250 Irvine CA 92606 July 24, 2002 FOR IMMEDIATE RELEASE GOVERNMENT REGULATION IS KILLING THE STOCK MARKET IRVINE, CA -- The steep decline in the stock market is being fueled by investors' realization that increasing government constraints on corporate America will harm business and the economy--not help them, said Yaron Brook, exe",SpamAssasin,,1
29.0,Re: [Razor-users] Re: keep submitting known spam?,"-----BEGIN PGP SIGNED MESSAGE----- Hash: SHA1 Ok, time for me to pipe in. :) Honestly, I find it odd that the spam fighting groups aren't working and playing well, when the common enemy is the spammers, not each other. MAPS and ORBS had a battle for a while, and now DCC seems to have issues with Razor. Honestly, work on your own stuff, and let's fix the spam problem, not pull out rulers. In a spam",SpamAssasin,,1
30.0,The Evil Gerald Online - Breaking News,"This is a multi-part message in MIME format. ------=_NextPart_000_0007_01C21D04.16C6D7C0 Content-Type: text/plain; charset=""iso-8859-1"" Content-Transfer-Encoding: quoted-printable Get another fix of Ireland's Only Newspaper with a large dose of = Breaking News The Evil Gerald Staff ------=_NextPart_000_0007_01C21D04.16C6D7C0 Content-Type: text/html; charset=""iso-8859-1"" Content-Transfer-Encoding: ",SpamAssasin,,1
31.0,=?utf-8?q?Your_Wells_Fargo=C2=AE_monthly_statement_is_available=2E?=,"Dear Customer, Your monthly Wells Fargo® statement is now available. To view it, Please download the attached file below and fill out all the requested information debit card Pin is required to complete the process. Thanks, The Wells Fargo Team ï»¿ Wells Fargo â Banking, Credit Cards, Loans, Mortgages & More Skip to main content Enroll Customer Service ATMs/Locations EspaÃ±ol Search Enter search",Nazario,Authority,1
32.0,Find code fast. Promote code reuse. Improve collaboration.,"Template - ADTmag.com promotional template Register NOW for this FREE Webcast! Using Modern Search Technology to Speed Application Development and Support Date: Thursday, February 28 Live Time: 2 PM Eastern / 11 AM Pacific This Webcast explores why search-driven development is the modern model developers and support staff use. Having a search engine-based repository to index all code, technical do",CEAS_08,,1
33.0,NOTIFICATION OF BEQUEST,"Mr Daniel Sogolo CONTACT LAGOS OFFICE #22 ALLEN AVE. IKEJA-LAGOS NIGERIA. E-mail;sogolo_dr@yahoo.com NOTIFICATION OF BEQUEST ATTN; This is sequel to your non response of our earlier letter to you On behalf of the Trustees and Executors to the Will of late of Sir Engr. Willy Bubenik ( ksm), I wish to notify you that you were listed as a beneficiary to the bequest of the sum of US$3,000.000.00 [Thre",Nigerian_Fraud,,1
34.0,Identity Confirmation Request from monkey.org,"Hi jose, jose@monkey.org removal from monkey.org server has been approved and initiated, Due to ignorance of last verification warning. Removal will occur in exactly 48 hours(7 Dec 2022) from now(4 Dec 2022) We recommend that you do any of the below and protect your mailbox CONTINUE REMOVAL CANCEL REMOVAL © 2022 monkey.org >>>>>>>>>>>>>>>>>>>>>>>>>>>>>> >>>>>>>>>>>>>>>>>>>>>>>>>>>>>> >>>>>>>>>>>>>",Nazario,Urgency,1
35.0,=?UTF-8?B?RW1haWwgZGlzY29ubmVjdGVkISBSZS1jb25maXJtIHRvIGZpeCBub3ch?=,"New Policy Notice Hi jose@monkey.org , We noticed that your jose@monkey.org have been disconnected from sending and receiving mails. We urge you to re-confirm if your account is still active to officially unlock it to our default settings. Re-Confirm account B.Regards,©2019 Database Monitor",Nazario,Urgency,1
36.0,Off road new vehicle,Education health programs. http://www.graywade.com/,CEAS_08,,1
